1,Flour - Whole Wheat,74.2987976074219,3,Medium,2018-02-16 08:21:49.1900000,Durable,Unknown,0
2,Cookie Chocolate Chip With,91.2329025268555,3,Medium,2017-02-12 11:39:10.9700000,Unknown,Unknown,0
3,Onions - Cippolini,9.13790035247803,9,Medium,2018-03-15 08:11:51.5600000,Weak,False,111
4,"Sauce - Gravy, Au Jus, Mix",54.3055000305176,9,Medium,2017-07-16 00:46:28.8800000,Durable,Unknown,0
5,Artichokes - Jerusalem,65.4770965576172,2,Low,2017-08-16 14:13:35.4300000,Durable,True,27
6,Wine - Magnotta - Cab Sauv,79.7183990478516,8,High,2017-05-25 15:08:39.6900000,Unknown,Unknown,0
7,Table Cloth - 53x69 Colour,31.8369998931885,9,Medium,2017-02-24 15:14:30.0500000,Durable,False,0
8,Halibut - Steaks,89.8572998046875,5,Medium,2018-03-24 05:21:21.8900000,Unknown,True,108
9,Rabbit - Whole,84.4218978881836,11,Medium,2017-06-17 12:12:04.6700000,Durable,Unknown,0
10,Scampi Tail,95.095703125,4,Low,2017-07-30 10:11:45.9900000,Weak,True,105
11,Garbage Bags - Clear,6.29489994049072,9,Low,2017-01-05 21:02:21.3300000,Durable,True,67
12,Ezy Change Mophandle,49.3356018066406,4,Medium,2017-11-01 09:49:59.0300000,Durable,True,0
13,"Water, Tap",28.2231998443604,11,Low,2017-01-16 19:49:10.9300000,Durable,False,69
14,Beef - Top Sirloin,3.33240008354187,7,Medium,2017-02-26 11:40:47.8500000,Durable,True,0
15,"Spoon - Soup, Plastic",32.4420013427734,1,Low,2017-03-03 09:47:09.3100000,Weak,True,0
16,Kellogs Special K Cereal,54.7246017456055,2,Low,2017-01-23 09:25:47.1100000,Durable,True,0
17,"Wine - White, Mosel Gold",43.9182014465332,10,Medium,2017-03-01 14:03:04.9200000,Unknown,Unknown,0
18,"Lamb - Whole, Fresh",23.3966007232666,10,Medium,2017-12-19 16:45:04.7300000,Unknown,False,0
19,Tea - Earl Grey,22.5613994598389,3,Medium,2017-06-14 22:39:53.3400000,Weak,True,94
20,Chocolate - Feathers,85.9011001586914,3,Low,2017-07-21 11:13:57.5500000,Durable,True,0
21,Kiwi,46.7252006530762,7,High,2018-05-09 08:59:46.1500000,Durable,Unknown,0
22,Rice - Jasmine Sented,27.8955001831055,6,Medium,2017-05-09 14:08:23.6300000,Weak,Unknown,48
23,Crab - Imitation Flakes,79.0184020996094,11,Medium,2017-08-19 07:18:29.8900000,Durable,True,0
24,"Beer - Alexander Kieths, Pale Ale",89.0370025634766,3,Medium,2017-05-23 03:36:02.4200000,Durable,True,65
25,Soupcontfoam16oz 116con,80.7666015625,10,High,2017-04-09 15:30:41.2500000,Durable,True,0
26,Squid U5 - Thailand,33.7821006774902,11,Medium,2018-03-26 19:31:26.9700000,Weak,False,10
27,Chocolate - Compound Coating,17.172399520874,1,Medium,2017-10-29 17:27:27.2800000,Unknown,Unknown,86
28,Sobe - Tropical Energy,12.315299987793,9,High,2017-10-25 04:23:48.2300000,Durable,True,0
29,Spinach - Baby,33.5882987976074,7,Low,2017-08-06 17:21:24.0000000,Durable,True,50
30,"Cheese - Brie, Triple Creme",67.8990020751953,6,Low,2018-03-21 19:28:46.7400000,Weak,Unknown,72
31,Yeast Dry - Fermipan,73.9850997924805,2,Medium,2017-04-17 23:33:06.1100000,Durable,False,0
32,Lettuce - Treviso,96.4126968383789,3,High,2017-01-09 18:29:05.7900000,Durable,True,0
33,Beans - Wax,45.5550994873047,10,Medium,2017-02-01 15:20:22.8600000,Weak,True,0
34,Mustard Prepared,43.3462982177734,6,Medium,2017-09-21 16:05:20.8200000,Weak,Unknown,7
35,"Water - Mineral, Natural",15.7232999801636,6,Low,2017-10-01 15:36:07.0800000,Durable,True,97
36,Table Cloth 54x72 White,69.2574005126953,9,Low,2018-03-04 18:24:57.5000000,Durable,True,0
37,"Nut - Pistachio, Shelled",80.3171005249023,7,Low,2017-02-27 14:01:39.1300000,Unknown,False,0
38,Sage - Ground,81.6578979492188,6,High,2017-09-26 00:45:35.6000000,Weak,False,0
39,Dried Figs,75.2059020996094,11,Medium,2017-08-04 21:51:44.2600000,Weak,False,120
40,Cocktail Napkin Blue,8.93719959259033,8,Low,2017-06-28 03:05:34.4000000,Unknown,Unknown,0
41,"Cup - 6oz, Foam",81.7210006713867,7,Medium,2018-03-15 16:02:55.8600000,Unknown,True,0
42,Bread - Raisin Walnut Oval,81.0487976074219,1,High,2018-04-01 08:39:17.2900000,Weak,False,0
43,Sponge Cake Mix - Chocolate,16.3983001708984,9,High,2017-08-12 13:40:16.8000000,Weak,True,96
44,"Wine - White, Colubia Cresh",48.5980987548828,7,High,2018-04-09 16:28:48.4500000,Durable,True,0
45,Beef - Ground Medium,79.5324020385742,4,Medium,2018-03-23 17:00:00.3700000,Weak,True,0
46,Lambcasing,86.7914962768555,9,High,2017-07-12 21:27:57.7600000,Durable,False,0
47,"Thyme - Lemon, Fresh",47.1338996887207,9,High,2018-02-16 02:50:46.7800000,Weak,False,0
48,Pecan Raisin - Tarts,60.3624992370605,7,Low,2017-11-26 03:31:03.2400000,Unknown,Unknown,114
49,Bacardi Breezer - Tropical,61.4317016601563,8,High,2017-01-03 12:21:41.8500000,Durable,False,0
50,Pork - Kidney,43.2863998413086,7,High,2018-04-21 00:02:16.2100000,Weak,True,0
51,Wine - Crozes Hermitage E.,81.0133972167969,11,Medium,2017-05-16 18:38:05.2300000,Unknown,Unknown,0
52,"Turnip - White, Organic",55.605899810791,1,Low,2017-06-27 06:39:03.8100000,Durable,False,0
53,Cassis,92.6278991699219,8,Medium,2018-02-16 15:42:44.9500000,Weak,True,0
54,"Liners - Banana, Paper",53.5592002868652,9,Medium,2017-06-23 03:31:04.5000000,Weak,True,0
55,Cinnamon Buns Sticky,6.61819982528687,3,High,2018-03-05 08:20:42.0500000,Unknown,False,85
56,Chips Potato Salt Vinegar 43g,46.4033012390137,9,Low,2017-10-10 18:13:25.5600000,Weak,False,0
57,Sausage - Breakfast,12.2145004272461,3,Low,2017-11-03 04:20:41.0800000,Unknown,True,103
58,Dc Hikiage Hira Huba,20.1009006500244,7,Low,2017-10-24 04:35:49.1400000,Durable,Unknown,91
59,Pastry - Butterscotch Baked,73.5389022827148,10,High,2017-04-08 09:15:47.6200000,Unknown,False,0
60,"Pepper - Paprika, Hungarian",31.6949005126953,2,Medium,2017-09-29 18:42:08.4700000,Weak,Unknown,0
61,Sardines,62.5460014343262,8,Low,2017-12-03 21:41:12.4200000,Durable,False,90
62,Pears - Bosc,19.5216999053955,1,Medium,2017-09-09 10:50:41.8300000,Unknown,Unknown,13
63,Cake - Mini Cheesecake,56.2689018249512,9,Low,2017-08-18 11:59:57.8900000,Weak,Unknown,0
64,Vinegar - Sherry,16.5228996276855,6,Low,2017-08-05 16:43:17.9300000,Unknown,True,94
65,Brandy - Bar,21.1105995178223,3,High,2017-04-14 10:38:39.8700000,Weak,False,0
66,Pie Filling - Cherry,9.88230037689209,7,Medium,2018-05-06 02:33:15.5400000,Weak,False,0
67,Wine - Sogrape Mateus Rose,3.78049993515015,5,Low,2017-09-30 18:29:36.1600000,Unknown,True,108
68,"Beets - Candy Cane, Organic",84.8768997192383,6,High,2017-09-04 03:43:50.1200000,Durable,False,72
69,Raspberries - Fresh,87.6091995239258,1,Low,2017-10-04 20:04:40.7800000,Unknown,True,0
70,Squid - Tubes / Tenticles 10/20,63.1846008300781,4,Low,2017-05-08 15:22:11.8100000,Weak,True,45
71,Cheese - Wine,74.407600402832,6,Low,2018-04-04 19:24:07.9900000,Durable,Unknown,0
72,Bar - Granola Trail Mix Fruit Nut,62.2602996826172,4,High,2017-10-13 13:17:29.3300000,Durable,False,0
73,Appetizer - Sausage Rolls,48.1907005310059,11,Low,2017-05-17 18:53:20.4700000,Weak,True,0
